P	Parece claro http://t.co/0KHiCtfn
P	No necesito más, si estoy junto a mi familia. Eternamente agradecida con Ds
NONE	"No se pierdan el vídeo de Shakira interpretando su hit ""Je L'Aime à Mourir"" en los premios NRJ http://t.co/6UePyjUC  ShakiraHQ"
NONE	A los güenos días.
N	En fin estoy más sola que la una viendo como una bollera duerme y esperando como un perrito pa q me saquen a pasear 
P	"""@Javier_asturias digamos a los asturian@s la verdad, lo que queremos y vamos a hacer, contemos nuestro proyecto"" #Asturiasenpositivo"
NONE	@efecuadros Yo soy tu sangre mi viejo, yooo, soy tu silencio y tu tiempo. Esta canción la cantaba todos los días de chiquita!
N	¡¡¡ como no!!!! China aplaude la medida de Twitter de censurar determinados mensajes http://t.co/3pHD8FPR
P	@jpguillenz a mí solo esos villancicos me gustan
NONE	"Bonus #ePeriódico: Josep Piqué analiza para EL PERIÓDICO la cumbre del euro: ""¿Es posible Europa sin el Reino Unido?"" http://t.co/985cq8aD"
NONE	Si la U cerró todo... entonces yo estoy libre hasta el lunes
P	Hasta mañana! Buenas noches!MUAC!
N	Rajoy a Rubalcaba: &quot;hay que tomar más medidas y no tendrán efecto inmediato&quot;
P	Impresionante cristiano, Impresionante.
N	Pensé hacer algo con Belén y machu, pero de nuevo me dejaron sola
N	El ejemplo del IRPF es simplificado irreal, demagogia. Mal rollo.
P	Grande @ClubEstudiantes somos el primer equipo de Maaadrid! :))))
P	Ya estamos. ¿Por qué no me duermo? Lo voy a intentar, no debe ser tan difícil.
P	Denle RT por favor, si alguien puede ayudar. RT @CarolinaDiago: @AlejandroSanz Pls help me help 2 (cont) http://t.co/TyIoGnol
N	Mis buenas intensiones se fueron a la M cuando descubro que no tengo pegamento y el plano no entra en la base  Entrega 9:00 AM
N	La Gala no merecía tanto pero, a la vista de los premios, @santiagosegura merecía más.
P	@johanna_196 el sábado unas risas todos juntos... A por otro año más! 
NONE	Portada Qué - Madrid http://t.co/3hHQ1OGj ...
P	@amartino @yagoperrin los dos amigos menos quejicas que tengo 
NEU	"“@rius15: No te olvides decir ""Si os gusta el baloncesto, no ir a ver a los Knicks"" #ConsejosNYC” O hacerlo en la Suite 20."
NONE	Con el #gobiernodelcambio los alcaldes volverán al Parlamento de #Andalucía porque son la voz del municipalismo en la Cámara autonómica.
NONE	El programa es en directo, sí, y los avances los representamos cada vez que se emiten.
NONE	http://t.co/DyXG6HDl videocapítulo del concierto de Albacete, Feliz Navidad.
N	"Rubalcaba critica la ""improvisación"" de Rajoy porque un día dijo que decidía el 5,8% por ""soberanía nacional"" y dp aceptó el 5,3%"
P	@sanchez_sonia felicidades por tu nuevo trabajo.  Feliz 2012
P	Pero en realidad soy mucho menos amargada, maldita y juega de viva de lo que parece. Lo prometo.
P	"ESTRENO ""Yes We Spain, IS DIFFERENT"": 27 Y 28 de ENERO en el AUDITORIO DE PALMA DE MALLORCA. Entradas YA en http://t.co/Q9HzeyLP .REGÁLALO!!"
N	RT @ostwitting: RT @hermanntertsch:Las sillas vacías de 11.541 muertos. Hoy recordemos que lo peor es siempre posible.Y evitarlo también....
NEU	Voy o no voy!!! estresado pero feliz con tu amor,un amor verdadero sincero y no convenido m siento amado x quien soy no x conveniencia
N	"Rajoy augura medidas durisimas: ""No será agradable, pero los españoles están de acuerdo"""
P	Desde el #gobiernodelcambio estableceremos microcréditos, avales y servicios de apoyo a las empresarias. Me comprometo con el mundo rural.
NEU	El hombre es contradiccion: decir lo que piensa y hacer lo que odia, discutir con el que ama, amar al que odia. #navidad
NONE	Veracruz a las 14 de la tarde aquí en México y 21 en España estaré en YA FM con Jorge Sosa y después en Latidos 90.1 con Ivone pacheco.
N	Mamá! No más paneton! No ves que ya he bajado como 8 kilos quieres que los suba en dos días?
P	@cotarola Te mando un abrazo. Vienen días duros, pero se superan eventualmente
P	"Rajoy: ""quiero y necesito que el dialogo sea la principal característica del estilo del nuevo Gobierno"""
P	Rajoy ha recibido una llamada de la presidenta de la AVT agradeciéndole la mención inicial a las víctimas del terrorismo
P	Montoro defiende que haya ministros en la nueva Ejecutiva del PP q @marianorajoy anunciara esta tarde #17CongresoPP. Teletipo @servimedia
NONE	Queréis que os ponga stream en 10 minutos con el McCree de mi equipo   será un stream cortito de 2 horas ^^
P	@marodriguezb @paugasol Sí, y en una competición real,abierta.No como los simulacros futboleros d aquí.Vamos,Pau,eres y serás EL MAS GRANDE!
N	A corto plazo, bronca; a medio, empleo. Un despido de 20 días para las empresas con caída de ingresos durante 9 meses http://t.co/IatHXBcx
P	Me gusta :) RT @EspinMarc: Por qué decidí escribir un blog sobre #periodismo y qué leo para hacerlo http://t.co/zkjoXb2k
NONE	Momento bautismo en la catedral de la Almudena http://t.co/d12au7Pe
N	Algunos venimos diciendo desde el siglo pasado q Alberto Ruiz Antañón era simulación y caspa. Los que se engañaban con él era xp querían
P	Tenemos 5 ministros ex gatotertulianos. vaya lujo! @Gato_directo @Intereconomia @gaceta_es Y vaya ojo!
NONE	+ socialismo http://t.co/PS6dX3rf via @el_plural
N	@Candiecita tanto tiempo siguiéndote y leyendo las cosas bonitas q ponías y ahora ya no me dejas? 
P	“@javiersolana: La transicion avanza!Myanmar frees dozens of political prisoners: http://t.co/69AqWhu1 #FT”
N	Les juro que lo stalkeo y mi instinto asesino se activa.
P	"""La verdadera seriedad es cómica"". Niall Binns retrata a Nicanor Parra, premio Cervantes. http://t.co/AxYtQ1by"
P	@Heikki_360 Vale   Lo he probado hoy y me parece muy bueno... veré tus vídeos 
N	"La trastienda del PP valenciano: ""Las miradas de los populares valencianos se clavan en Fabra: ¿para que nos sirve?"" http://t.co/m0ujeyHi"
P	@JKsSpicyLatina Espero que la hayas pasado lindo
P	"""@Medeita87: De dónde sacas tantas frases ingeniosas? Tienes a gente explotada en un almacén?"" Llamarlos gente es muy generoso por tu parte."
NONE	En menos de 100 días!
NEU	@YurikitoKSP tengo una amiga que dibuja genial.... s necesitas te paso su nombre
P	"“@Vertele: Audiencias: ""Tú sí que vales"" lidera en Telecinco tras el partido de Champions http://t.co/B37X6y8v” Ouyesh!"
NEU	La suerte de la fea la guapa la desea #tipicasfrasesdeabuela
P	Muy recomendable http://t.co/5P1HJf8X. Xa @Jiwert
P	Un abrazo enorme que no nos impresionen las cifras RT @wasalcedo: con 5 millones de usuarios hay que tener suerte ... http://t.co/bldsBjyi
N	@drhuerta dr que tratamiento,medicina natural..para las alergias como al aire acondionado, o agentes de este tipo..es una pesadilla
N	B días! Camino de @anarosaq en Tele5. Accidente enorme en la carretera Fuencarral- Alcobendas.
NONE	Hola me complacerían con #ParaOlvidarte de @MauYRicky por faaaaa Saludos desde Liberia @los40cr
P	Comiendo en el mejor 'Japo' de Málaga! ;-) (@ TA-KUMI) http://t.co/g3GMkOLj
NEU	Uyy que se me olvidaba dejaros esta pagina para que os apunteis a la Marcha del sabado dia 12 @CarnavalMLG @malagasana http://t.co/tw76mtG8
N	@KristelS18 Acá tengo pero ugh, la canela no me gusta mucho es que es que me cae pesado, pero se me quitará.. Gracias Kris.
NEU	El Gobierno de Rajoy sube las pensiones. El PSOE lo recorta todo menos el paro - http://t.co/pp23dVSm #AhoraAndalucía
NEU	El barco de Jack y su gemela... que nostalgia de clima. Muy buenas noches followercetes!  http://t.co/xgZJIoyW
NONE	quién se viene conmigo mañana a beber a embarca ?? 
NEU	Mañana es, posiblemente, el último encuentro de Natura que dirija y Enero ya empezar en Yanbal
N	"Mañana en @elconfidencial mi #dos palabras ""Cuando la corrupción se convierte en nuestro peor enemigo""."
N	Mas va pidiendo concierto económico buscando l diferencia y copiando privilegios mientras se esconde ante ls 200M tirados en #Spanair
P	Comienzo con mi gente una campaña en la que quiero ennoblecer la política con debates apasionados pero sinceros. http://t.co/1y5Svfbk
N	Roban dos millones de euros en una joyería madrileña con un butrón - http://t.co/lPd40w3A
P	Hola a todos, hoy en Almería con @javierarenas_pp y @marianorajoy mitin en el pabellón Rafael Florido, podéis seguirlo  http://t.co/7sKpxHOH
N	Espermos que el ministro de Defensa no acuda a la videoconferencia con guión como su predecesora.
NONE	La luna de nuevo #cielodespejado #smp
N	@Gabi_Herranz @KNekro yo se lo dije 10 veces ya, pero el me sigue teniendo ese pequeño odio... es comprensible, siempre le caere mal 
N	@dane_ng A Ud. parece que sí, porque la educación que TODO MUNDO recibe por lo visto le choca de sobremanera.
NONE	Y ahora el tupper cole !!!
P	Esto no puede faltar en la estantería de un madridista, #epico te lo gestiono @gonzalococa ! ;-) http://t.co/2L5MZp25 #HistoriaReal
NEU	10.000 seguidores!Qué vértigo y responsabilidad!Gracias a todos. A los que me critican.A los q dicen q soy del PSOE y los que dicen q del PP
P	Gracias #VisitaElHierro RT @sanzchile: @AlejandroSanz Para los que no sabíamos mucho sobre la isla http://t.co/aUKiQsUe
P	Esperando la nueva temporada d #SuperShore2 ,vamos calentando motores con el estreno de #AcapulcoShore3 esta noche a las 22:30 @mtvspain 
P	Gran cita RT @ccifuentes: Muy apropiada para hoy esta cita: Ningún gobierno es mejor que los hombres que lo integran. John Kennedy
P	Verano completito... Fuengirola, Peñiscola, Valle del Jerte, fiestas Sepul y próximamente --- fiestas Olmillo! 
N	@GeorgeBleach ya sé que es feo pero 
NONE	Parador de Lerma, Burgos http://t.co/OzPBg54X
NEU	Yo no sé ustedes pero mi mejor amigo al chile es EL mejor amigo y lo extraño #zad
N	@santizuza  vete buscandote un ayudante que sepa de medicina porque entre Digard y Riviere haras las cronicas desde la enfermeria 
P	Recuerdo especial esta noche a quienes la pasaran separados de los suyos  cuidando por nuestra seguridad y bienestar. Gracias.
N	La forma de convertir el cese de la violencia de ETA en irreversible, es el estado de derecho, pero también la política en el Congreso.
P	La reforma laboral acaba con décadas de hiperproteccionismo heredado del franquismo en beneficio de la necesaria flexibilidad...
NEU	Con el PSOE Extremadura formaba parte de la candidatura olímpica. Con el PP se acabó. Como la prioridad del AVE, los vuelos, las energías...
P	@Javi_Guerrero97 vas a ser un gran comunicador
N	Reforma laboral: parece q hay poco margen xa modificación en tramite parlamentario
NONE	@YacoEskenaFans hola chicos, nos pueden seguir para poderles enviar un DM?
P	Felices Pascuas para todos!! // Happy Easter to all!!
NONE	Portada La Gaceta http://t.co/Q0GC814A ...
P	Un besazo chicas. RT @Chile_Paradise: @AlejandroSanz mira esta foto y celebramos juntos http://t.co/iXdiVaYP hace 1 año ya de esto ♥
N	@libadri perfecto. ¡Gracias! A ver cuánto me toca pagar este año, que ya 3 años he pagado lo mismo.
P	Gracias a todos x tanto amor y felicitaciones! Feliz navidad! Los quiero a muerte!
NONE	Conviene recordar...  http://t.co/Zwf5r0Re
N	RT @CmMarta: @barry_gibb En la empresa privada cortan cabezas por mala gestión de fondos.Si encima salen de los contribuyentes, mas aun.
N	Yo sí lo sentí y me lleva puta
N	El Supremo condena a Garzón y lo inhabilita por el caso de las escuchas de la Gürtel.
N	Pro no es muy estetico 
NONE	Porque no hicieron un en vivo de la fiesta de Rubí?
N	Persecución de los xtianos en la India. Hablamos con un obispo de la zona. @TelediarioInter 20:30
N	Esto es tan surrealista 😂 Pues nada, la cuenta de twitter de PewDiePie a la puta 
N	me pone muy nerviosa que la gente no entienda que A VECES PUEDO BROMEAR 
P	Para mí mi mejor año fue el 2015 
N	"Toma! compravotos“@AdrianaRey83: Portada mañana @gaceta_es ""Griñán regaló 54 millones a UGT y CCOO el mismo día en q convocó las elecciones"""
P	ya estoy mas tranquila! “@Marialumbreras: Es El Langui, un rapero famoso. Es un chico con mucho talento y luchador.Tiene dos goyas ()”
P	¡Feliz Nuevo Nacimiento! Un infinito GRACIAS por tu Presencia aqui. ¡Un Abrazo Enorme!. Alicia.
P	A recuperarse!!! Feliz año a todos! Y los que siguen de fiesta, a darlo todo!!! Un fuerte abrazo!!!
NEU	El videoclub salta a la red empujado por la estrecha conexión del televisor a internet http://t.co/TvGpBhkv
NEU	Me alejé tanto de mis amigas de la universidad por lo que me fui a estudiar de noche y no saben cuánto las extraño
NONE	Cinco años no son en vano
P	@javierarenas_pp propone: Ley de Ordenación Territorial de Andalucía, q fomente la creación de empleo preservando la calidad medioambiental
N	@oooogeiD por mensa Yo supuse que era un toque más caro pero esa María tenía tarifa dinámica
P	@Pirata__Roberts hay gente muy buena trabajando duro en @SpheraSports. Palabras así impulsan  @Eliperezup
P	En el ministerio del Aire han tenido el detalle patriótico de iluminar la bandera. http://t.co/LOdS7GhE
N	El ministro de Hacienda, Cristobal Montoro, anuncia que el Gobierno tomara mas medidas urgentes contra el deficit esta semana. Vía rtve.es
NONE	Concentración provida de Derecho a Vivir e las puertas de Moncloa
N	"""La Andalucía del @PSOE : un maná de corrupción"". Editorial @13tv_AlDia 20.30h @13television"
N	"Boletín Banco d España: desviación déficit d CCAA fue x ""desfavorable evolución d ingresos"" xq gastos fueron ""inferiores a presupuestado""."
N	estoy entre dos, pero las dos son súper caras 
NONE	@nubecina @grassengel pero no están en el cantón central de SJO
N	Vamos igual q el hizo con la crisis del Tequila . Era Zedillo quien mandaba. La situación es similar para Rajoy ahora. @hermanntertsch
NEU	El 11M la izquierda se manifestará porque TVE va a eliminar a Bob Esponja. Vaya tropa!
P	Que maravilla.. Un besazo anorme a tru princesa. RT @macasanzlucero1: @alejandrosanz Creo que cada (cont) http://t.co/DdNGKiHR
NONE	Y esta costumbre es ya universal! Candados en el Puerto... http://t.co/3TSu0Coj
P	Viendo al amiguete @danimartinezweb. Impresionante imitando a Eduardo Gómez, Flippy, Matías Prats, Shakira, Nadal... http://t.co/bmhYjKFY
P	Encantada de empezar el año con muchos más amigos. Gracias!! :)
P	El Ayuntamiento abre el centro ciudadano de Haza Carpintero #CiudadJardin http://t.co/UHHGfBng vía @opiniondemalaga
NEU	@germanyanke @AthleticClub perdona, señor Raul.
N	El Ibex da miedo. Mucho miedo
NONE	@luisenrique3365 Jeje. El @TuiteroCrema se perfila para periodista deportivo, pero si la atina le tendré más respeto desde ya.
NONE	Empieza la semana con la ilusión de saber que va a ser mágica, llena de momentos felices, sonrisas, miradas y mucho amor. Que así sea
P	Enhorabuena al bilbao!! Grande!!!
NEU	Corrillo Rajoy: Los tengo [a los ministros] en la cabeza pero no he hablado de nada con nadie. ¿Sorpresas? Soy razonablemente previsible.
N	@FaranduleroYo Pues espero que no lo digas por mi niña o no voto mas  memeo, bueno cada uno tendra su opinion +
NONE	@mariviromero si, aquí seguimos...
P	En el Comité Regional del PSM PSOE trabajando por un futuro mejor
NONE	La zona intermedia: Jonathan Littell en Siria.  http://t.co/klctQuWV via @el_pais
P	ELMUNDO.es acaba de lanzar su nueva tienda de ebooks. @elmundo.es: http://t.co/Nse2D68o
N	¿No decía el PP que subir los impuestos genera paro? ¿No era el paro la prioridad?
NONE	Y hable con el corazón de los afectos Y en esas cosas la Justicia habla idiomas diferentes. Insisto, dusculpad, pero volvería a hacerlo.
N	"“@UPyD: ""Hemos pillado al PP,sin buscarlo,en una tremenda contradicción y en una tremenda traición"" http://t.co/Wrni5uSq” Sin buscarlo?"
NONE	"Escuchando la hora ""hot"" de ""qué paja"" en radio moda"
NONE	@AlvaroQGonz pero es verdah pe!
P	Buenas tardes twiteros!
P	Compre la Mezquita de Córdoba es trending topic. Gracias. (va de este artículo en mi blog http://t.co/k0nkU7JO )
P	No se cuantas veces la abre escuchado, pero no me canso de hacerlo y es que suena tan bien juntos @MisElizaJane  https://t.co/KVPc6WiIGU
P	"Esta tarde a las 20 h., en el Centro de Arte Moderno (Galileo 52, Madrid), presentamos el libro de Luisa Etxenike ""El detective de sonidos""."
NEU	@PattyCavallone Para los chicos es mil veces más fácil donar que para las chicas 
NEU	Los “independientes” de ZP y del aparato. Primer análisis desde el congreso del PSOE. Suspicacia con los cascos azules. ...
N	Alonso dice que en Andalucía no hay corrupción. Risas en el hemiciclo. @TelediarioInter 20:30
P	Grandes predicciones de la Historia #38congresopsoe http://t.co/d29aGFgo
NONE	Voy a dejarme crecer las cejas a tope en plan naturales porque 
P	¡Noticias descombacantes! está disponible! http://t.co/GtjLld7K
N	Chacón promete mantener ls diputaciones(como Rajoy) para conseguir votos en el congreso de todos los enchufados en ls diputaciones. Patético
N	Acabo de ver una chamaca con un piercing de mota en el ombligo. Lo peor es que tiene cara de que lo que fuma es jamón
NONE	El enlace de la Infografía: Atribución de delegados del PSOE según los propios candidatos http://t.co/qfozgu66
N	@grassengel no podés tener lo mejor de los dos mundos
N	Subidas de hasta siete puntos en el IRPF!!!!!
P	"Victoria del #Atleti y estreno de la ""Guía Catálogo de la Semana Santa"" de Gutiérrez Aragón en @giraldatv.La noche no ha estado mal.Clic."
N	@nenina74 @CrisLaLider no estoy de acuerdo, las cicatrices siempre recuerdan dolor, sufrido o provocado 
N	Esta noche estoy entre pasar bajo una escalera vestido de amarillo echándole sal a un gato mientras rompo un espejo, o ver TSQV... #Dilema13
NONE	Mijas cierra una treintena de encuentros con touroperadores antes de Fitur http://t.co/0akJRCf6
NONE	@Trovack somos dos! jaja ahora eres Martín? oye voy para Lima el prox mes, para el reencuentro d la u, avisas si estarás por esos días
N	"Valenciano: ""El PSOE tendrá la plantilla que pueda pagar"". ¿Aplicará la reforma laboral?"
N	@odiomistweets No puede ser, eso me está pasando en estos momentos, hace rato estaba good happy y ahora solo i cry
P	Segundo cuarto y Golden ya lleva 73 puntos
N	La consejera gallega de Salud será desde mañana número 2 del Ministerio de Sanidad. Allí dejó sin tarjeta sanitaria a los parados... Aquí?
N	Los partos prematuros se han triplicado por culpa de la ansiedad y el estrés. http://t.co/LkylJNeI
P	#ElCambioAndaluz Arenas unificará la política de apoyo a las empresas andaluzas en el exterior ... http://t.co/BUGV6yhs @javierarenas_pp
polarity	text
P	Andalucía imparable .... http://t.co/WkgtbdxF
NONE	Vamos a currar.
NONE	@atvmasnoticias Me parece que Zuckerberg visualiza a Kuczynski como un 'muñequito bailarín' en FB... para indicar cuando estemos felices.
NEU	Jajajajja me he confundido jopeeeee @jessica_bueno90  ella es la unica mujer de mi vida
P	Recomiendo a los alumnos de Comunicación de la @universidadcjc seguir #iredes van a aprender mucho ;)
N	Agotado tras leer el peloteo a Rajoy en el kiosco.Es como Roosevelt dicen unos, palabra de Rajoy resaltan otros, sus 10 mandamientos...
N	Ya no me quiero mover Estúpidos aeropuertos.
N	En la web de Moncloa no hay ni musiquilla ...
NONE	Bueno, mañana es mi examen final de física, el que apruebe determinará si me graduo o no, desenme suerte y enciendan una velita pls
P	Ya estamos en Japon! Son las 23h asi q hay que ir a dormir para que el jet lag se vaya rapido... Que sueño!!!!
N	RT @Charodona: @sevillajordi  injusto q ante la paridad se hable de la mujer no preparada y q al hombre se le suponga siempre preparación
P	@mgilguerrero ya se estrena esta noche con una en otra radio.
N	Público cierra. Un abrazo para todos los ex compañeros @pflis @publico_es @haciendoelpino @Jonbarandica @javisalas @solucionsalina y demás
P	Interesante! RT En @La_SER estrenamos sección de tele http://t.co/8alPMFbA ¡No te la pierdas!
P	Tras 13 años magníficos en @informativost5 espero pasar otros tan buenos en @La_SER. Gracias ex compañeros y saludos a los nuevos :)
N	Espero que PSOE no se ponga de canto con el tema AMAIUR. O a favor o en contra. Pronto empezamos a no ser claros si no.
P	Los andaluces tenemos dcho a conocer otro gobierno, un gobierno de los mejores, el gobierno del cambio con @javierarenas_pp y el @ppandaluz
P	Los canales de Latinoamérica como Andrés Navy, Extraordinerd o The Top Comics tampoco están nada mal, hay muy buen material 
N	Se ha montado la de Dios! A ver: habrá que sortearlo, o algo...
P	Me parece una persona decente.Parlmentario muchos años conmigo.Se le respeta en el P.E.
P	Buen día amigos : )
NONE	Ya tengo mis tickets para LA SONRISA DE JULIA en CONCIERTO. http://t.co/znBUsF4k #socialticketing
NONE	"Un ministro me ha dicho hoy que en el Congreso del PP en Sevilla ""Rajoy ha nombrado ministra del PP a Cospedal"""
P	Buenaaaaas! Mi #FF de hoy es para #Anonymous , bueno y para la camarera q me va a poner el desayuno Haaaaaabreeeeeee!!!
P	La presidenta @mdcospedal cumple. El nuevo IRPF de Cospedal http://t.co/Ngii4vS2 vía @eldigitalcastillalamancha
NONE	"Hey, @rebecarus, que me dice Amazon que ""Todas las bodas necesitan un plan B"" ya está cargado en mi Kindle. ¿Empiezo ya o qué? "
NEU	"No le concede Santamaría importancia a la reducción en el número de mujeres de ministras: ""En el trabajo no hay distinción de géneros""."
NONE	Despues de muchos años, pudimos reir por un buen par de horas..
P	Me encanta ;-)) RT @clubelcandado: Queda oficialmente inaugurado nuestro blog: http://t.co/TlWoSS8a #PadelDospuntoCero #experienciacandado
P	Gracias Bcna!!;) seguimos disfrutando y    Mejorando este nuevo #yeswespainISDIFFERENT !!;)
NONE	A las 13.30 estaré en la tertulia política d @mananascuatro con @mrtfernandez , colaboradores y equipazo.. ay las #CCAA!!
P	Dos figuras ahora en cartel!#lachispadelavida http://t.co/2qRxfc8D
P	Una reunión te arregla un día... Pero sólo por un rato.
